incentive,private,grade,table,table_size,table_incentive_pr,grape,grape2,cluster,strata,sex,race,lunch,dg,sw,sc,male,group,sex_mf,grade_mod,black,hispanic,free,public,above_grade_median,nosurvey,dbestfriend,dbestfriend_i,dpopular,dpopular_i,tpr_own,Switched,Stayed
0,0,6,50,6,0.5,1,1,54,5,3,3,2,0,0,0,1,5,1,6,0,1,1,1,1,0,0,0,0,0,0.5,Not Changed,Stayed Grape
0,0,5,38,6,0.6666666865348816,1,0,50,5,3,3,2,-1,0,1,1,5,1,5,0,1,1,1,1,0,1,1,0,0,0.5,Grape to Cookie,Changed
1,0,6,50,6,0.5,1,1,54,5,3,3,2,0,0,0,1,6,1,6,0,1,1,1,1,0,1,1,0,0,0.5,Not Changed,Stayed Grape
1,0,1,177,6,1,1,0,170,14,2,2,2,-1,0,1,0,8,0,1,1,0,1,1,0,0,0,0,0,0,0.5,Grape to Cookie,Changed
0,0,1,44,6,0.1666666716337204,1,1,41,4,3,3,2,0,0,0,1,5,1,1,0,1,1,1,0,0,1,0,1,0,0.1666666716337204,Not Changed,Stayed Grape
0,0,2,215,6,0.5,0,1,213,19,3,3,2,1,1,0,1,5,1,2,0,1,1,1,0,0,0,0,0,0,0.1666666716337204,Cookie to Grape,Changed
1,0,1,177,6,1,0,1,170,14,3,2,2,1,1,0,1,8,1,1,1,0,1,1,0,1,0,0,0,0,0.5,Cookie to Grape,Changed
0,0,3,33,6,0,0,0,19,2,3,3,2,0,0,0,1,2,1,3,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
0,0,4,196,6,0,0,0,197,17,2,2,2,0,0,0,0,2,0,4,1,0,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
0,0,1,195,6,0.6666666865348816,0,1,188,16,3,2,2,1,1,0,1,5,1,1,1,0,1,1,0,0,1,1,0,0,0.5,Cookie to Grape,Changed
1,0,5,38,6,0.6666666865348816,0,0,50,5,3,3,2,0,0,0,1,6,1,5,0,1,1,1,1,1,0,0,0,0,0.5,Not Changed,Stayed Cookie
1,0,7,68,6,1,0,0,79,7,3,3,2,0,0,0,1,8,1,7,0,1,1,1,1,0,0,0,0,0,0.8333333134651184,Not Changed,Stayed Cookie
1,0,1,177,6,1,0,0,170,14,2,2,2,0,0,0,0,8,0,1,1,0,1,1,0,0,1,1,0,0,0.5,Not Changed,Stayed Cookie
0,0,3,119,6,0,0,0,112,9,3,3,2,0,0,0,1,2,1,3,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
